,Number,Name,Review,Stars,Sug/Com
0,276,Gaurav ojha,"
Best in class


First of all best headphones in this segment . I bought it in 699 Rs.1 - Bass bhai faadu bass hai 70 % se jyadha nhai ker pata volume .🥰2. Sound quality bhi bahut mast hai🥰3. Ear main comfortable hai bahut long uses ker sakte ho per dimmag bhari ho jata hai because of high volume and bass.😊4 . Bluetooth connectivity bhi bahut mast hai 10 meter tak no lag .😊5 . Haa iski build quality sahi nahi lagiBahut hi cheap lagta hai plastic bahut weak hai esa lagta hai ki tuth na jaye use kerte time.😐6. Battery acchi hai 2 hour full charging time and after 7 ghante lagatar chala sakte hai. Nyc battry life .7. After 6 month  left earphone ki volume bahut hi decrease ho gyi hai and right earphone sahi chal rha hai 😔Conclusion If you had budget like 600 and 700 go for it if you use this product safelyIt will last long 1 or 1.5 year .And last I love bass and sound mza aa jat hai gaana sunke 🥰🥰🥰
",3.0 out of 5 stars,1
1,292,Suraj Nagar,"
Zebronic Zeb thunder ⚡ Sound Quality


Value for money 💸Aap isme sabhi chize average kar sakoge chahe gaming ho ya song sunnaSound Quality bahut hi acchi hai lekin mujhe ek problem aayi thi ki isme aap sound Quality ka maza to le skte hai lekin iska sound loud nahi hai jo log jyada volume me gaana sunna chahte hai wo ese bilkul purchase na kare or ydi aap gaming karte ho to aux cable lga kr gaming kre usme bhi aap thodi jyada bass sunoge ex. BGMI kheleoge to usme aap enemy ke footprints and gun sound thodi bass me sunte hai ya yuh bolu ki gaming ke liye ye bilkul bhi sahi headphone 🎧 nahi rahega
",4.0 out of 5 stars,1
2,639,Adarsh kumar singh,"
KHATARNAK 👍👍👍


भाई ज्यादा मत सोंचो खतरनाक HEADPHONE है आंख बंद करके ले लो । BASS तो इतना है कि कान फार देगा । overall suprrb है ।  ।और क्या बोलू ।
",5.0 out of 5 stars,1
3,649,dineshkukde,"
FM radio channel Nahi chal raha hai






                    The media could not be loaded.
                



 Sound quality badhiya hai  lekin FM radio kam nahin kar raha hai FM radio nahin chal raha hai !
",3.0 out of 5 stars,1
4,784,padam singh,"
Worst  headphones


Product is another in showing object. So I want to return you. showing thing is not proper thing.श्रीमान वितरक महोदय,  आप द्वारा replacement मैं जो zebronics thunder head फ़ोन भेजा गया है, वो wirelace नही है जैसा कि कंपनी के द्वारा दिखाया गया है अतः अपने वितरक एजेंट को वापसकस्टमर्स से collect करने को कहे।  आपका costomer
",1.0 out of 5 stars,0
5,869,RV,"
Good


Wireless use kro to bahut accha hai but wire lagane pr thodi pro karta h sound kat jata h bich bich me
",4.0 out of 5 stars,1
6,895,Jitendra Singh,"
Good headphones


साउंड क्वालिटी अच्छी है , ओवरऑल अच्छा सब अच्छा है आप इसे खरीद सकते हो।
",5.0 out of 5 stars,1
7,1481,Rajan k.,"
Very bad.


Very bad.aux cable ke sath sahi se kam nahi kar raha hi.bas quility is 0.Isse achha 1000 ke approx ka koi dusra company ka lejiye
",2.0 out of 5 stars,0
8,1547,Nandini,"
Bad quality


Thik hai itne cheap price me par iska cushion boht irritating hai loose hai pehnte utarte hai to loose hokr nikal ata hai pir lagana padta hain base bhi kuch khas nhi par itne price m base ese hi milega
",4.0 out of 5 stars,1
9,1635,Swami govil dass ji,"
Cheap and best


Ear vala uper ka cover bar bar utar jata hai
",4.0 out of 5 stars,1
10,2193,manojshah,"
इससे घटिया sound मैंने आज तक नहीं सुना ॥


Sound is very bad .. not feel music
",1.0 out of 5 stars,0
11,2280,Azaz Mohammed,"
ek no


ek no
",5.0 out of 5 stars,1
12,2399,Geeta,"
क्वालिटी


Good very goodNice 👍
",3.0 out of 5 stars,1
13,2473,SIDDHARTH KUMAR,"
.


Bluetooth version bohot purana hai connect bohot deer mei hota hai aur sound quality average hai not worth to money
",2.0 out of 5 stars,0
14,2589,VIJAY PRATAP,"
अच्छा नहीं है


खुला पैकेट मिला और पहले ही दिन कान का कवर निकल गया।
",3.0 out of 5 stars,1
15,2608,Bhupesh Kaundal ,"
Don't buy it


बहुत ही घटिया प्रोडक्ट ।Very low sound, sound not a good quality👎👎👎👎👎👎👎👎👎👎
",1.0 out of 5 stars,0
16,3099,RAJESH YADAV,"
Super se bhi Upar


What a thunder Zebronics.
",5.0 out of 5 stars,1
17,3160,Ishwar  dangi,"
Iss price me Nice product but sounds quality ki thodi or sudhar dete


Best priceBest quality in this priceSound quality badiya hai par thodi or sudhar sakte
",4.0 out of 5 stars,1
18,3173,Avineesh gosain,"
Good product according to price


Good product main pishle 5 months se use kr rha hu,Battery bhi 4 din badh charge krta hu .
",4.0 out of 5 stars,1
19,3302,RAJEEV RANJAN,"
ठीकठाक है


हेडफोन का कुशन, जो कान पर लगता है, वह एक दिन में हट गया। उसे एड्हेसिव से चिपकाना पड़ा।
",3.0 out of 5 stars,1
20,3350,Prashant kumar,"
Awesome product biggest battery ever


गजब का माल है बैटरी तो कतई जहर है मस्त
",5.0 out of 5 stars,1
21,3371,Vivek kumar,"
LOOK LIKE SEXy


Bahut badiya price hai,. Sounds bhi achhe hai. Offline market se 100% best hai
",5.0 out of 5 stars,1
22,3481,Sitaram ji,"
Full bass nhi h aur bluetooth bhi bhi nhi h


Bluetooth se music sune ne ke liye mujhe Amazon se Bluetooth wala headfone order karna h
",1.0 out of 5 stars,0
23,3545,shivam,"
Dhamaka!


Bahot sahi cheej hai
",4.0 out of 5 stars,1
24,3632,Aman kumar Singh,"
7887273100


Headphone is best but sound bhi achha hi hai
",5.0 out of 5 stars,1
25,3650,Rajeshwar Mishra,"
कबाड़ प्रोडक्ट है।


घटिया प्रोडक्ट है। कोई न खरीदे। बैट्री बिल्कुल काम नहीं करती है। बड़ा प्रचार करके माल घटिया दे रहा है।
",1.0 out of 5 stars,0
26,3724,Abhishek Kumar,"
Kuch time लगाने ke बाद मेरा कान दुखने लगता हैं






                    The media could not be loaded.
                



 Sound quality is osm 😍😍😍😍
",4.0 out of 5 stars,1
