,Number,Name,Review,Stars,Sug/Com
0,68,Priya,"
Sound बेकार है


इसकी volume बहुत ही ज्यादा कम है... फ़ोन बराबर volume इसीलिए इसे लेना waste of money रहा।इसकी volume और फ़ोन की volume seprate नही है अगर इस speaker के volume बटन से volume + या - करते हैं तो फ़ोन की volume भी बढ़ती और घटती है।इसलिए पसन्द नही आया।
",2.0 out of 5 stars,0
1,94,Amit Ranjan Jha,"
I want to say u.. something new..


जी आदरणीय श्रीमान महोदय।जी मैं ये बताना चाहूंगा, की जैसा फ़ोटो दिखाया गया वैसा तो बिल्कुल भी नही है। और उसमें जो आप लोग साइज लिख देते हो cm/meter में तो क्या कस्टमर हाथ मे इंची टेप लेके घूमेगा। और आर्डर करते समय वो किसी चीज़ का माप लेगा तब वो आर्डर करेगा है ना? और रही बात connectivity की तो बस आप ये समझ लो कि आपके हाथ मे चाय है और सामने नाला के पास ADVANCE YA LIGHT लेने जाना हो बस उतने दूर गए तो गाना बन्द और नही गए तो फिर 2 4 तो सुननी ही है। by the way I want to say.. product is good but not awesome.
",4.0 out of 5 stars,1
2,120,Phoolkumari,"
Good


Maine ye gift karne ke liye liya hai mera bhatija gaane pasand karta hai par phone me volume kam rahta hai tho bluetooth se ise jodkar gaane sunega tho wah jyada injoy kar payega.thanks Amazon.
",3.0 out of 5 stars,1
3,249,Piyush Bansal,"
below average product


please use the micro SD card very carefully. bcoz sd slot ke niche kaffi gap hai jiski wajah se jab sd card lagaoge to slot me insert na hoke speaker ke ander chala jayega. and FM useless hai bcoz bina antenna koi single ni catch kar rha hai. so overall average product hai.
",2.0 out of 5 stars,0
4,261,OM,"
FM Stop after crossing replacement policy days


Replacement policy days khatam hone ke 10 din baad hi Fm chalna band ho gya ab sirf bluetooth me istemal kar rahe hai
",5.0 out of 5 stars,1
5,390,Chandan mehta,"
Bad product


First time order krne m sound problem thi do din chlte chlte sound bhut km ho gya replace krne pr new product bhi kharab nikla Bluetooth hi connect nhi hua aur button bhi kharab tha 😡😡
",1.0 out of 5 stars,0
6,457,Madhukant s.,"
Sound bhut kam hai is liye refund kiya jaye quality aacha nhi hai






                    The media could not be loaded.
                



 Tej song ke liye chaiye sound  Jo iske quality veery poor hai please my amount is refund it is the better quality  for Amazon book
",1.0 out of 5 stars,0
7,571,Hussain Shaab,"
Na sound quality thik hai na hi bass hai bekar hai paisa bekar


Sound quality bekar hai mujhe return karne ka mann hai isse acha sound quality deta hai jo mere pass hai hai vo only 250 ka hai vo jada best hai bass bhi acha hai oska but iska toh sab bekar hai
",1.0 out of 5 stars,0
8,575,imran,"
अच्छा है पर बैट्री लाइफ ?

",4.0 out of 5 stars,1
9,701,Lalit Supadu Patil,"
सामान्य क्वालिटी है


रिटर्न करना है पर रिटर्न नही हो रहा हैउसका अाॅप्शन हि नही दे रहे अॅमेजाॅन से..खाली रिपलेसमेंट का दिखा रहे है ये ग्राहक के हित अधिकारों के खिलाफ है।
",1.0 out of 5 stars,0
10,730,Ankur Kumar,"
बेकार है जेसा दिखाया गया है. वेसा  है नहीं... आवाज भी कुछ खास नहीं है..


बेकार है जेसा दिखाया गया है. वेसा  है नहीं... आवाज भी कुछ खास नहीं है.. और पैसे इतने जादा... इससे अच्छा तो जो मार्केट में 50+ के मिलते हैं वो अछे है...
",1.0 out of 5 stars,0
11,736,HARISH C.,"
Not good


इसकी बैटरी बहुत कम चलती है और आवाज भी बहुत अच्छा नहीं है कुल मिलाकर इस रेंज में बाजार में अच्छा प्रोडक्ट मिल जाता है
",1.0 out of 5 stars,0
12,783,vinita singh,"
Just so so


Itne paise me itna hi milega 😆
",3.0 out of 5 stars,1
13,788,Gadborikar Ravindra,"
अमेज़न वालों ने ऐसा प्रोडक्ट भेजा जो एक महिना भी नहीं चला और स्पीकर खराब हो गया है.


प्रोडक्ट भेजने वाले पर बैन लगा देना चाहिए, ऐसा गलत प्रोडक्ट भेजा है की मन करता सा* की मा*-ब** चो* दू
",4.0 out of 5 stars,1
14,860,Hittaarth,"
खराब हो गया २ महीने में ही


Look is good but quality is not good
",1.0 out of 5 stars,0
15,947,VEDANT,"
बहुत ही अच्छा स्पीकर है।।


बहुत ही अच्छा स्पीकर है मुझे बहुत पसंद आया है मैं सभी को सलाह देता हूं कि यह स्पीकर खरीदकर इसका सुखद अनुभव अवश्य करें।।धन्यवाद
",5.0 out of 5 stars,1
16,968,Noor,"
Sound quality bahut acchi hai






                    The media could not be loaded.
                



 Bahut Achcha product Hai sabhi ko Lena chahie bahut Achcha sound hai
",3.0 out of 5 stars,1
17,986,SACHIN SRIVASTAVA,"
Fm mode per set nahi ho raha hai


Fm mode per set nahi ho raha hai or customer care se bhi koi contact nahi ho pata hai complen kaise kare
",1.0 out of 5 stars,0
