,Number,Name,Review,Stars,Sug/Com
0,345,Kindle reader,"
Good


शानदार
",5.0 out of 5 stars,1
1,572,Banti kumar,"
Bekar mal hai...






                    The media could not be loaded.
                



 Bekar product hai  fatal or uparse seedelebarsan pura paisa bekar ho
",1.0 out of 5 stars,0
2,721,PANDAT Y@Shovardh@N G@UR,"
Plz mt khreedna😭😭😭😭😭


Waste of money plz plz plz plz plz don't buy this product yw return bhee nahi horaha please mt khreedna😭😭😭😭2 din hee puncture hogyi bhot bhaari bhee hai or stuff bhee alag hee hai yw
",1.0 out of 5 stars,0
3,796,Subhrajyoti Sadhu,"
Paise barbaad hone hai.


Wastage of money, lol. 😂🤷
",3.0 out of 5 stars,1
4,826,jaykishan,"
Worst quality


नहीं लेना भैया एकदम बेकार product है...बहुत ही गन्दी quality
",1.0 out of 5 stars,0
5,842,ROHIT,"
मस्त है


काफी अच्छी क्वॉलिटी की बॉल है। मुकेम्बो खुश हुवा
",5.0 out of 5 stars,1
6,1081,Shilpa kothari,"
Ghatiya ek dam mat kharidna






                    The media could not be loaded.
                


",1.0 out of 5 stars,0
7,1124,Prashant,"
बहुत कमजोर फुटबॉल है एक ही दिन खेलने पर फुटबॉल फट गया और ऐमज़ान वालों ने वापसी भी नहीं ली


बहुत ही कमजोर फुटबॉल है
",1.0 out of 5 stars,0
8,1214,Neha Kumari,"
Bad quality


4 din me fut gya
",1.0 out of 5 stars,0
9,1305,Prabhat singh,"
Good


गुड प्रोडक्ट आप इसे खरीद सकते हैं
",4.0 out of 5 stars,1
10,1606,Mr_Sum,"
💥


Thk h pr jada achii nhi nikli
",4.0 out of 5 stars,1
11,1681,pankaj Kumar,"
Good item


Acha chala
",5.0 out of 5 stars,1
12,1990,shashank,"
Supar


Nice
",4.0 out of 5 stars,1
13,2045,Kuldeep rathor,"
Football sahi nhi hai

",1.0 out of 5 stars,0
14,2080,Arti Uswadkar,"
Joedar

",5.0 out of 5 stars,1
15,2356,Meer Hasan,"
काफ़ी मज़बूत है

",5.0 out of 5 stars,1
