,Name,Review,Stars,Sug/Com
0,harry GUJJAR,"
GHANTAA BASS BOOSTED WASTED PRODUCT I EVER PURCHASED


Just waste of money guys the fitting in ears is too painful after some time it just paining not even me my family members also try that they facing the same problemCall quality badTouch sensors stop working having mood swingsVolume is lowAnd as company claim bass boosted ( ghanta bass boosted)Bhaisaab 200 rupay ki UBON ki lid isse achhi avaz dedegi  1200 rs is kabaade keAnd guys aple airpods pro ki replica lelo isse achhi to bhaisab vo bhi achhi h inse to kum se kum fitting to properly hogiBss yaar dekhlo aur baaki aapki mrzii
",1.0 out of 5 stars,0
1,Piyush,"
Gajab product hai 1200 se niche to koi khaas kami ni.


There is only 1 downside that it does not show how much battery is remaining in the case otherwise no downside. Battery is amazing lasts upto minimum 5 hours on 100% volume and 6-7 hrs on 70-80% volume . Takes 1 hour to chatge the earbuds  . Bass is very impressive and overall sound quality is awesome. But sometimes the battery percentage is not shown fully accurate. By this i mean Ki kabhi kabhi iski battery bhot der tak same hi dikhata rehta h mtlb agr iski battery 1 ghnte me 10% drop hoti h to ye show nhi krta sidha 2ghnte baad 20% battery drop dikhate hai. I hope aap sb smjh gaye honge. Baaki bdhiya product h merko 999 me mil gaya tha iske hisaab se best tws hai is range me . Touch control bhi sahi hai. Agar 1200 tk me mile to bina soche utha lena or agr aapke unit me koi dikkat h to 10 se pehle replace krwa lena . Baaki eksm mast product hai agar aapka piece defective nahi hai to . Bina soche lelo 1200 me to. Agr 1300 me aapko mil rha h to thoda research krlena isse bdhiya koi tws mil jaye shayad. 1200 se niche to gajab ka product hai
",5.0 out of 5 stars,1
2,Rudra Seal,"
Bad


Return karna tha lekin replacement option avilable hai sirf yeisa karna nhi chahiye tha agr product or product quality  atsa nhi hai toh kiya kare ham wo ap ka fault haina call quality atsa hota hai na sound quality atsa hai fully worst productMere toh product v atsa nhi nikla orh product quality v atsa nhi hai mujhe return krna tha lekin ap logone return option hi nhi rakha jante huwe v product quality atsa v nhi ho sakta haiHo sake toh return lijiye plzz mujhe refund chahiye mujhe ye product nhi chahiye replacement option ko cancel karke return likiye
",1.0 out of 5 stars,0
3,Vaibhav kamble,"
MADE IN INDIA CHECK OUT ORIGINAL REVIEW






                    The media could not be loaded.
                



 Bhai sabse pahle to fake comment dal ke galat mat boloMivi india working hardAnd sare products bahot ache hai...1500 k ear pod try kiya hu...par 2 din me wapas kiya...unsatisfiedBut maine a25 lene ka sochaBhai ek number .....bssss khareed loSocho mat...mai khud istmala kar raha huBass jyada hai isme..actually noice cancelation k liye bass jyada diya haiPr thik haiThoda adjust karna padta haiBaki mast hai
",5.0 out of 5 stars,1
4,Himanshu mishra,"
Great product


Mai kal se use kr rha hun aur bola jaye toh product ik no. Hai Iske prize k according sound quality aur Calling tym aur battery time bahut badhiyan hn kl se use kr rha hun 3points mai Abhi yak 3 hi hue hn aur 10 hours se jaida use kr chuka hun both side aur Abhi bhi 20 hours aur chalega finally bola jaye toh Acha tifaiti hai budget mai aur quality mai aur dekhne mai bhi classic hai ❤️🙏🏻
",5.0 out of 5 stars,1
5,Karan saini,"
Telling the truth is a very poor product


Sound quality okBass ok but connectivity is very badBhai sahab thodi dur jaate hi disconnected ho jata heOr ek earbud me to aawaj hi nhi aati heMivi vaalo ki sarvis to ekdam se bakwas heMe khud bahut dino se try kar raha hu lekin kuch ho nhi Raha heBas pade hue he kachre meBhaiyo thode or pese invest karke dang ke le LenaSaste ke chakkar me padkar mt kharidna
",1.0 out of 5 stars,0
6,Rakesh K.,"
Paisa barbad






                    The media could not be loaded.
                



 Build quality ek dum se ghatiya ...tum Kahi le kar niklo awaj aati hai...earbuds itne jyada hilte hai case ke ander ...Bhai deep base nhi hai...noise cancellation ke naam per aisa lagega tufan me baith kar baate kar rahe ho...ghrr-ghrr ki awaj aati hai...mujhe sabse jyada iske build quality se...aur calling se problem huyi hai..
",2.0 out of 5 stars,0
7,Vivek vishal,"
Baas quality, sound quality, Low budget


Bass quality super hai, agar kisi ko bass chahiye to ye prefer kro jbl ke earphone se jyada bass hai isme aur clear sound aata hai baad ke sath. Mai 10 din use krne ke baad rewiew daal rha hu, bahut aacha lga low budget freindly.
",4.0 out of 5 stars,1
8,kaka lalit singh,"
Best bass bass bass






                    The media could not be loaded.
                



 Agr aapko bass bahut jayda pasand hai tooh aap inhe jarur se 1 baar try karo  .... Bass faadu hai ek damm... Aur battery bhi top class ... Aaj teesra din hai inhe aaye huye mene abhi tak charge nhi kiya hai ... Battery mast chal rhi hai ...and calling quality bhi bahut jayda sateek hai....
",5.0 out of 5 stars,1
9,harpreet s.,"
Best airdops forever


Best airpods sound quality is very good bass is excellent battery life is very good jo log bol rahe hai k yeh waist of money hai mujhe nhi pta kyu bol rahe hain
",5.0 out of 5 stars,1
