,Number,Name,Review,Stars,Sug/Com
0,74,Atul Srivastav,"
Worst product battery is not at all good and cable is is not working


Worst product. Battery is going low within hour. And if we connect with cable then it sounds are not coming.महा घटिया स्पीकर। इसकी बैटरी एक घंटे भी नही चल रही और बोल दे रहा है की बैटरी चार्ज नही है। और अगर केबल से भी कनेक्ट करे तब भी नही हो रहा है।कृपया करके इस महा घटिया प्रोडक्ट को मत लेना
",1.0 out of 5 stars,0
1,163,Aman,"
Need to improve sou d and battery ..


On kerne per aur off kerne per dono m device on bolta h...Device off bolna bhi sikhao
",4.0 out of 5 stars,1
2,176,Devji Myatra,"
Fake product.


Fake Product. Parcel Khola or switch on Kiya. Chalu Hi Nai Ho raha.. bettery full he fir bi On Nai Ho raha...  Worst product
",1.0 out of 5 stars,0
3,255,Ashu,"
Worst battery life .


Sound to thik hai but battery life bilkul bekaar hai 10 hour ka show kia huaa hai par 2-3 hours hi chlta hai don't like this product . JBL is best than boat
",1.0 out of 5 stars,0
4,321,suchita Bhargava,"
Very bad quality


Very bad quality with in 15 days mera speaker karab ho gaya . Charging bhi nhi ho rahi. Battery bilkul karab hai.. please don't invet on this product
",1.0 out of 5 stars,0
5,328,Gulashan kumar,"
Sound colite acha nahi ha






                    The media could not be loaded.
                



 Sound achha nahi lagtaSd card v nahi lagata ha
",1.0 out of 5 stars,0
6,351,MS Rahi,"
Bas kamm chalau hai


Theek hai bas kamm chaljata hai
",1.0 out of 5 stars,0
7,361,Mohan singh,"
Staylis


लुकिंग वॉइस बहुत अच्छा है इसका शाम लाजवाब है इसकी बैटरी बैकअप बहुत अच्छा है इसका बेस वास्तव में जानदार है
",5.0 out of 5 stars,1
8,392,DK SMART,"
Not working properly


Exchange karwana pada kyuki... Kholte hi asa dikha jese kisi ne use kra hua ho pehle s hi.. fresh peace nhi tha ...
",1.0 out of 5 stars,0
9,441,Balram diwakar,"
Boat lene se accha koi local spekar le lo


Eski awaj km h aur Bess ki quality sahi nhi h
",1.0 out of 5 stars,0
10,451,Shailesh Suthar,"
Betrry


Eshka betrry becup 10hoursh  Tak company batrahi he or eshka betrry 2hoursh hi chalta he
",2.0 out of 5 stars,0
11,548,Amazon Customer,"
छोटा पैकेट बड़ा धमाका... Product is too good in this price range.


छोटा पैकेट बड़ा धमाका... Product is too good in this price range
",5.0 out of 5 stars,1
12,587,Vandana Verma,"
battery quality


battery quality bekar hai continue charge krna pdta hai...
",1.0 out of 5 stars,0
13,594,Shreesh Kumar,"
Bekkar speakar hain


Battery back up sahi nahi hain. Isliya return kar lijiya
",1.0 out of 5 stars,0
14,596,MD Abujafar,"
Battery


Battery bake up nahi deta hai sirf 30 minutes hi battery bekeup deta hai
",1.0 out of 5 stars,0
15,602,Abhimanu sakkarwal,"
Ek dam ghatiya product hai or volume bhi khas nhi hai


Ek dam ghatiya product hai or volume bhi khas nhi hai
",1.0 out of 5 stars,0
16,605,Mahi Jaiswal,"
Jyda maza nahi aaya... Jitna socha tha


Ummid se bahut hi kam
",3.0 out of 5 stars,1
