,Number,Name,Review,Stars,Sug/Com
0,40,Prashant sharma,"
Cheap Quality materials


Sound quality to achchi hai. Lekin baki sab ghatiya quality ka hai, 4-5 month me braided cable ki pol khulne lagti h. Rubber jaha use kiya hua h wo mausam ke hisab se galne lagta hai.  200rs. Me ho to hi theek h ye.  Is se sasti or badhiya Mil jaati h. Or brand ki
",1.0 out of 5 stars,0
1,408,IAMGAUSE,"
Not matched expectations!!


599rs me liye headphones par iski value 399rs se zyada hi nahi hai.  Bass ke liye theek hai par boat225 aur jbl c150si isse bahot zyada achche hai. 80% volume par hi bass aur baaki instruments feel hote hain. Bas bass hi theek hai baaki ke surroundings bekar hai  bilkul china type.pata nahi iske reviews kaise itne achche hai. Main currently boat 225 aur boult loop use kar raha . realme buds2 inke aas paas bhi nahi aata.
",3.0 out of 5 stars,1
2,421,Chandan gami,"
Product is not same as shown in Amazon picture but brand realme I same and sound quality is very low


Jaise product picture mei dikhaya gya tha ye product total same nai Aaya hai but company same realme Ka Aaya hn and iska sound quality bahut hi kharab hai.meine first bar hi hamare trust aap Amazon se mangawaya product aur peahle bar mein hi wrong product bhej Diya isse hamko bahut Bura lag Raha haiHam request karte hai ki please mere is problem Ka jald se jald solve KARE.thanks..
",1.0 out of 5 stars,0
3,498,Rakesh,"
Good Product


Product bahut hi accha hai sound quality bhi sahi hai bahut hi lite wet hai ear mai acche se feet hota hai lambe time ke use karne par bhi problem nahi aati bas thoda trouble jyda hai base ke mukable BGMI ke liye bhi best earphone hai 599 mai sahi deal hai.
",5.0 out of 5 stars,1
4,1054,Anmol,"
Not good quality sound


Youtuber paise Lekar Badhai kar rahe bass thoda theek hai sound quality acchi Nahin Hai..... Poor 👁
",2.0 out of 5 stars,0
5,1102,Shweta,"
Worst product, earphone ka ek side 2 hi mahine me kharab ho gya.


Ek side kharab ho gayi
",1.0 out of 5 stars,0
6,1173,manojshah,"
Sound quality boggas


मुझॆ इसकी आवाज बिल्कुल भी पसंद नहीं आयी।
",1.0 out of 5 stars,0
7,1317,Adnan raza,"
Realme buds 2


Sound loud hai par clear nahi hai aur na hi bass ACHCHA hai isse achcha sound aur bass boat 242 me hai, ya mi dual driver lo,I m not happy with realme buds 2,Sab Youtubers jhoote😡
",2.0 out of 5 stars,0
8,1335,Lalit markam,"
Decent ,love this product 😻


नॉर्मल उपयोग के ठीक है, गाना सुनने वालों जिनको bass ज्यादा पसंद है उनको ये बिल्कुल भी पसंद नहीं आएगा। नॉर्मल गैमिंग भी कर सकते है । बाकी बाहरी क्वालिटी एक दम सही है।
",3.0 out of 5 stars,1
9,1410,Leelar hydroponics,"
Best eair phone


Best eair phone sound good star maker singing me kam a jata h noice thoda aata h bt sound achha h le sakte h
",5.0 out of 5 stars,1
10,1442,Abrar Syed,"
Its just awesome 😍


Iski sound 🥵🥵🥵🥵 ......iske mukaable nhi hain koi bhi earphones 600 ke price tag mein.. 3rd time order kiya hu still my favourite yr just awesome bass... Noice cancellation is also fab
",5.0 out of 5 stars,1
11,1540,Sanu,"
Aaacha😂😂


Pahli baat ekk dam jhakhas aawaz bhut teez h aur bass bhe ekk dam jhakhaas aur.... Aur kya😂😂😂😂 sab bhadhiya yahi lena h isse aacha koi nhi
",5.0 out of 5 stars,1
12,1576,Brajesh kumar,"
प्ले और पॉज बटन ठीक नही है ।


इसमे प्ले और पॉज का बटन ठीक से काम नही कर रहा , पिछली वाली में सही था पर इस बार अपेक्षा पर खरी नही उतरी ।
",3.0 out of 5 stars,1
13,2018,Aj Mhatre,"
Osm


Nice color 🔶 wire bohot aacchi hai i like 👍 and magnet. but check karna sab only 7 day return rehta hai
",5.0 out of 5 stars,1
14,2029,Bharat,"
Quality sound quality music quality base


Sound quality bahut acchi hai bass quality bahut acchi hai aur music sunkar Achcha feel good Hota Hai
",5.0 out of 5 stars,1
15,2087,Kundan Kumar,"
Above average experience


Agar itna paisa le rhe ho to noise cancellation mic hona chahiye tha... jo ki nhi hai isme , baki sabkuchh se satisfied hu
",4.0 out of 5 stars,1
