,Name,Review,Stars,Sug/Com
0,Sanjeev Soni,"
Mid range sound


मेरी राय में तो मत ही लो तो ज्यादा अच्छा हैमैं लिया पर मजा नही आ रहा सबसे पहले इसका बेस ज्यादा बजता है voice कम हो जाती है इसकी साउंड क्वालिटी 2 से 3 हजार का जो सिम्पल वाला म्यूजिक सिस्टम आता है वैसे ही है 4 -5 गाना सुन लिए सर दर्द हो जाएगा
",2.0 out of 5 stars,0
1,MD SHAHBAZ SIDDIQUEE,"
WORST SERVICE EVER


Etni Ghatiya Service Hai Boat ki, Tmhara Viswaas uth jayega, November 2020 ko maine purchase kiya amazon se, February me sound bar and sub woofer connect hona bnd ho gaye,Then maine complaint kiya boat customer care me, unka technician bhi visit kiya, uske baad jo wo parts mangwane, To Bhai aaj 31st of July hai, wo abhi tk nhi aya, aur mai boat customer care me baat krke thk gaya, wo log bs kahte hain ki MAAFI CHAHENGE SIR, MAI APKE COMPLAINT KO AAGE FORWARD KR DETA HU, that' it Fir naahi mera sound bar repair kiya in loge ne, aur fir maine complaint krna chor diya ab November me meri warranty Khatam hone wali hai 😔 Bhai Product Baht Accha Hai, Tmhe Sound Baht Pasand Aane wala hai But Kabhi bhi tmhe inki service ki zarurat pr gayi to fir wo product tmhara Boat Brand ka last product hoga
",1.0 out of 5 stars,0
2,S shaikh,"
Bakwas sound


boAt AAVANTE Bar 2050 160W.... sabwofar  not working Bluetooth connection problems.... sabwofar kuch dino ya mahine ke bad band ho jata hai ye... boat ka sound bar ripear rawate rho B's bar bar... price iski bhot high he aur quality 0% he 5000 tk me mile to lena chye... baki iska sound tv me bhot hi zyda khrab ata hai difrant sound deta hai ye led tv me... aur bass iska bhot bekar he price zyda he iski aur sound 🔊 bakwas... lens hoto soch samajh kr lena Q ke ye zyda dino tk nhi chalta he ripear karwane ke lena ho to le skte ho... 8 se 9 tk ki price me
",1.0 out of 5 stars,0
3,Amazon Customer,"
Boat sound bar AAVANTE 160 wt 2050


Vary bad service mera AAVANTE 2059 160w bar problem aya tha to service center ne change kardiya 2000 w ka dala is vajah se sound quality bekar ho gya boat service sentaer me call krte hai to vo log kahte hai aaye ga ise karte karte 2.5 month bit chuka lekin Abhi tak nahi aayaBoat ka service bahut kharab hai
",1.0 out of 5 stars,0
4,Vijay S Mankar,"
Koi bhi Sound bar, Home theater ki barabari nahi kar sakta


Single sound bar me wo maja nahi milta, Please buy split sound bar,  which we can put in two different places, and it will give good Sorround sound, kitna bhi mahnga sound bar lo, wo aapki home theater ki barabari nahi kar sakta, single sound bar me woh maja nahi,Isase achcha mai 2000 ka f&d 2.1 sound home theater kharidtata
",2.0 out of 5 stars,0
5,PRASHANT KUMAR SHRIVASTAV,"
The customer is being cheated while selling in relation to this product.


ग्राहक को बेवकूफ बनाया जा रहा है क्योंकि इस प्रोडक्ट के साथ कोई पावर एडेप्टर नहीं दिया। और ना हीं इसके संबंध में कोई जानकारी दी जा रही है। बेचते समय। महा घटिया प्रोडक्ट है, मत खरीदना नहीं तो पछताना पड़ेगा।The customer is being fooled because no power adapter was provided with this product.  Nor is any information being given regarding this.  While selling. This is a very poor product. Do not buy otherwise you will have to regret it.
",1.0 out of 5 stars,0
6,Raj Chaudhary,"
Full volume kar k full bass mat use kare


Awesome soundbar love it but full bass or full volume don't use because the subwoofer bass speaker is not a smooth yea bass speak ko nuksaan hota hai full volume or bass bada ne se or bass halka halka fat ne lagta hai so 28 volume k upar aap full bass use kare us k upar kiya tho subwoofer fat sakta hai
",5.0 out of 5 stars,1
7,Arvind,"
Worthless


Bass best.but sound speaker ka bhoot bekar hain dull hain ek dam..high volume mai sirf bass sunai dera hain,sound voice clear hi nai hain..or upr se jada bass se headche hone lgta hain kuki songs mai voice sunai deti hi nai h ache se means aap songs ka mja ni le pawo ge..mere liye worthless hain
",2.0 out of 5 stars,0
8,Suhaginini shah,"
Boat company is cheating with customers


Soundbar liye hue ek saal bhi nahi hua or motherboard kharab ho gaya.Uske baad customer care mein call kiya toh dedh mahine se gol gol ghuma rahe hai or problem abhi tak resolve nahi hua. Don't buy.
",5.0 out of 5 stars,1
9,VIJAY TYAGI,"
Osm soundbar


Sound Quality ekdm osm hai, bas to extra heavy h jaisa ki indian users ko psnd h purchase krne se pahle users ke negative reviews dekh kr thoda confuse tha bt nw m happy, prime sale me 6799 me lia h
",4.0 out of 5 stars,1
