,Number,Name,Review,Stars,Sug/Com
0,162,bhupender singh,"
वारंटी इज नॉट गारंटी


my earphones got damaged i took warranty claimBut my product was not foundProduct arrived at my house but the color of the product was changedwith whom I am very angryPlease send my bad product only but it should be the same.😡Hindi मेरा इयरफोन खराब होगया था मैने वारंटी का क्लेम लियालेकिन मुजय समे प्रॉडेक्ट नहीं मिलाप्रोडेक्ट मेरे घर पर आगया लेकिन प्रॉडेक्ट का कलर चेंज थाजिसे से मुजय बहुत नाराजगी हैमुजय मेरा खराब प्रोडेक्ट ही भेज दो लेकिन वही होना चाहिए।
",1.0 out of 5 stars,0
1,356,Mukesh Kumar,"
Good Earphones!! tested On Oppo, Nokia, Samsung!!


Awesome EarphonesMaine ye earphones Oppo F1s, Nokia 6, & Samsung On Max Par test kiyaOppo F1s :- Awesome!! DiracHDSound Mode On Karne par equalizer or bhi acchi sound deta hai Like a any Woofer & Sound System but ek problem is mili kuch audio mp3 ear phones me voice ko lekar low sound karegi but music sahi h & ye problem..local music me bhi milegi..professional vdo song bahut hi acche sound krege..thoda audio me kuch songs me mila...Nokia 6 :- Bahut hi lound & crispy sound mili..volume ko ek point kam krna pda ya toh ear nhi bachenge ya earphone fat jayengeSamsung Galaxy On Max :- Compare to oppo & Nokia very low sound..or koi khaas equalizer nhi h by company..but for Samsung user they'll enjoy it but not up to d mark!!
",4.0 out of 5 stars,1
2,834,vivek kumar jain,"
नॉट गुड क्वालिटी


मेरे इयरफोन खराब हो गए इतने मै पहले राइट वाले मै आवाज आना बंद हो गया अब दोनो मै बंद हो गय क्या क्रु क्या मुझे रिटर्न करने पे पैसा रिफंड मिलेगा या रिपेयर होगा या नहीं
",4.0 out of 5 stars,1
3,1379,SSR Warriors,"
अच्छा और समीक्षा कुछ समय बाद देगें


Sound 3.8Bass 3.8यह ईयर फोन ठीक है पर समस्या है,पैसा वसूल 4क्वालिटी 100%58 ठीक है और यह ईयर फोन खरीद सकते है,और सावधान रहें कुछ प्रोडक्ट अमेजोन वाले घटिया प्रोडक्ट रखते है, घटिया प्रोडक्ट का अच्छा समीक्षा देते है, अमेजन और फ्लिपकार्ट वाला भी
",3.0 out of 5 stars,1
4,1395,Nitish gautam,"
चाइनीस प्रोडक्ट Made in china 😡😡


Made in china 👎. कृपया करके वोट का नाम देखकर आप इस एयरफोन को ना लगाएं क्योंकि यह चाइनीस प्रोडक्ट है चाइनीस सामान कितना भी अच्छा हो लेकिन मैं कभी भी promotion नहीं करूंगा। मैं मैड इन इंडिया को सपोर्ट करुंगा। किसी भी प्रोडक्ट को खरीदने से पहले उसका ओरिजन प्लेस देख लिया करिए इसके बाद खरीदी।
",1.0 out of 5 stars,0
5,1437,Shubham,"
Product is very bad... Condition and Mike problem and connecting problem....


बहुत ही घटिया प्रोडक्ट मिला जैसे इस्तेमाल किया हुवा हो... boat कंपनी का नाम अमेज़न खराब कर रही .. हमने प्रोडक्ट वापसी। के लिए भी लगाया तो डिलेवरी बॉय ये बोल कर नही लिया कि ये पुराना है....  mike Problem or connecting problem.... इतना सारा issue होने पर भी वापस नही हुवा....
",1.0 out of 5 stars,0
6,1878,Ravi,"
Low quality speakers


Very bad speaker quality, feel like 50 rupee earphone, don't buy, go to other brand,Boat company chaina se earphones import karti hai ush par apna brand name and logo lgati hai our hum jese logo ko pagal bnati hai
",2.0 out of 5 stars,0
7,1952,Vijay Kumar,"
There is ZERO bass quality. Dont buy guys.


Koi bhi order na karein is earphone ko. Bcz there is no bass. Chhhnnnn ki awaz bahut hi isme. 1 mnt me mood ka dahi ban jata hai.Isse badiya to market me  100 rs wala hi koi earphone badiya hai.Very bad product in this range.
",1.0 out of 5 stars,0
8,2150,Santosh Singh,"
Plz Quantity par Dekh kar bhejo


Very nice earphone. I have ordered Two quantity Earphone but i got One Quantity Earphone. Mane Complain bhi kiya tha fir v mujhe dubara nhi mila aur nhi Mony refund hua. Apklog Quantity ka Khas dhayan rakho. Plzzz.
",1.0 out of 5 stars,0
9,2416,nadeem khan,"
Nice


ear phone ki sound quality bhut aachi hai hai . ear mein aisa nahi lagta ki extra type ka shot ho raha ho . bass quality is best.
",5.0 out of 5 stars,1
10,2423,KINJAL PATEL,"
Headphone 13 months me bugad gaya


Poor quality of sound and 13months me bigad gaya. 600 700 rupees me liya tha.
",1.0 out of 5 stars,0
11,2467,Raj Ansari,"
Best budget earphone






                    The media could not be loaded.
                



 Bdi jldi khrab ho jati hai ye mostly mere ye earphone 3 se 5 month chlte fir ek na ek side khrab ho jati apne aap aur warranty ka scene nhin kuchh k ja k bapis kr aaun
",5.0 out of 5 stars,1
12,2714,prajakta ,"
आयटम दुसरा आया


हमने ये ऑर्डर किया और आया एक्स्टेंशन बोर्ड. फिर रिटर्न के लिये बोला तो request भेज के हम थक गये, बादमे लिखके आया रिटर्न not पोसीबल.ऐसा दो time हुआ. पैसा पहला भरके फस गये
",1.0 out of 5 stars,0
13,2993,Abhi,"
This earphone is not support to my phone within 6 months . where can I return this or maintenance


Ye earphone kharab hi gya hai within 6 monthsAb batao ise mai kha mentenace jarawa u.Itna kharab quality diya itne mahanga damodar meI hate amazon.......
",1.0 out of 5 stars,0
14,3026,Salman Khan,"
Super sound quality.Guys Buy karo Bindass hoke Mst Hai 9 month se use kar raha hu No problem


Yaar Mst H Ekdam GajbSuper sound quality.Guys Buy karo Bindass hoke Mst Hai 9 month se use kar raha hu No problem Abhi tak to Kuch nhi huaa Ekdam Perfect work kar raha h thanks Amazon
",4.0 out of 5 stars,1
