,Number,Name,Review,Stars,Sug/Com
0,369,Devil Boy,"
Not Buying ಠ︵ಠ


* Bekar Sound Quality He.* Bass To Na Ke Barabar He.* Mic To Thik Thak He Toda Dikat To Hoga Aapne GF Ya BF Se Bate Karne Me.* Design Me Ache Quality Ka Lagta He.* Full Sound Pe Aavaj Faat Ta He.* Vese 900rs Ke Hissab Se Bekar He Lene ka koi Fayeda Nahi.* 22Feb2022 Me Liya He Abhi Tak To Thik Cal Raha He.* Jab Ye Kaharab Hoga Uska Bhi Update De Dunga.
",3.0 out of 5 stars,1
1,520,Himanshu Jalal,"
I had a great time with my earphones 💗


Most important thing - the buud quality is superb in this price range , mujhse 50 bar iski wire khich gyi par ye fir bhi kam karti thi I was happy with my earphone sab kuchh achha chal rha tha but par one fine day jab me college ko ka rahi thi mujhe gane suune the and then suddenly I realised earphone maire pocket se gir gaye kahin, Esha dusre bar huwa hai ki maine apni nayi nayi earphone kho diye raste me  ..thank you ✨
",4.0 out of 5 stars,1
2,645,Jitin  grover,"
Worse and worse product


Very bad product mic is not working .Pehle bhi humne earphone mangae the uska bhi mic kharab tha fir replace kraya iska mic bhi 8th day pe kharb ho gya warranty ka bhi pta nhi kb claim hogi kaisr hogi dont buy this product mene ache reviews padke isse mangaya tha aap sb soch rhe hoge ki itne ache reviews hai achi hi hogi mene bhi yhi socha tha but bhut bekar hai
",1.0 out of 5 stars,0
3,723,SHAILESH,"
Bohot hi badhiya product hai don't west time price bhi amezin ji good hai deewani bhi fast hai👍






                    The media could not be loaded.
                



 Good product voice is too good price bhi too good Amezon hai to sab good hai and kisi bat ki Shikayt bhi nahi family jaisi hai Amezon Jo apnoki tarah product bechti hai jai se ki koi friend bolta hai ki ye le aacha badhiya hai waise hi amezo apne ko product bechti hai thank you👏👏👏👌👌👌❤️
",5.0 out of 5 stars,1
4,879,rajkumar kori,"
स्विच ऑपरेट करने में दिक्कत है इन्हें साइड में होना था






                    The media could not be loaded.
                



 इसके स्विच आसानी से नहीं मिलते जब यह गले में होता है,इसे ऑपरेट करने में दिक्कत होती है। स्विच में उभार होना चाहिए था।साउंड क़्वालिटी बढ़िया है।
",3.0 out of 5 stars,1
5,883,Amazon Customer,"
3.5 mm jack is faulty


This is not a genuine 3.5 mm jack supported earphone. Jiska 2020 ke pehle ke phone hai wo isse purchase naa kre coZ iska 3.5mm jack sahi se fit nahi hota baar baar khul jata hai isiliye puraane phones ko ye support nhai krta. Aur ye log return bhi ni kr rahe hai replacement available hai but no return.
",2.0 out of 5 stars,0
6,989,Amazon Customer,"
Sound is awesome


काल मैने इस इयरफोन को खरीदा पहेली बार मैंही इसका साउंड मुझे बोहुत पसंद आया, मेरे पास realme का bud 2 है ये उसको भी टक्कर दे रहा है इसका clarity bud 2 se अच्छा है और bass मैं भी similer है ।
",4.0 out of 5 stars,1
7,1003,Sumit K,"
Mic issue


Ek mahine me iska mic kaam karna bandh Kar diya... Warranty Hai lekin service center jane k liye bol rahe hai... Itna traveling me waste karne se better Maine fek diya aur boat ka liya.. Unka replacement warranty doorstep pick up Hota Hai. Worst service and product
",1.0 out of 5 stars,0
8,1071,Baba Khan,"
Not like






                    The media could not be loaded.
                



 Ekadam sadeli quality ka noise cancellation bhi Sahi Nahin Hai apni Marji se chalta apni Marji se band Hota Hai please a return karke mujhe dusra de do Bluetooth disconnect bhi nahin Hota Hai phone switch off karna padta hai
",1.0 out of 5 stars,0
9,1196,Harry,"
Ankhe band kar ke kharid lijiye


Jiska mujhe tha intajar, jis k liye dil tha Bekarar,,, vo mujhe ear phone mil gayi mil gayi,,, (kaan ke bahar bilkul nahi khisakta hai)
",5.0 out of 5 stars,1
10,1365,Gopal vishwakarma,"
Ok ok type


Music enjoy ke liye earphone bahut achha hai but calling ke liye bahut kharab qki microphone bahut dur me hai jiske karan dusre wale ko sunayi achha se nai deta hai aur jab jack ko plug in karte hai tab bhi properly plugin nai hota hai
",3.0 out of 5 stars,1
11,1468,Ramandeep,"
GAJJABBB


gajjab item hai bhai iss price point par..aankh band krke lelo...299 mein best productisse pehle meineboat ke ise krke return lrfdiye...jo 399 ke thee....itne mast nhi thee voh aur build quailty bhi achhi hai iski!!
",5.0 out of 5 stars,1
12,1543,Shubham,"
worst company


bhai bht bekar 2 peice mangayi thi dono ke mike sahi ni chal rhe the fir replace ke liye daala boult me to unka kehna tha ki ye address pr courier kriye fir dekha jayega not expected this from boult . i preffer boat for best services.
",1.0 out of 5 stars,0
13,1562,Kalpesh Jadhav,"
Best in wired earfone.


Kuch mat sochoSidha kharid loRegret nahi krogeBest hai best.Iska bass Aisa hai jaise kaan me dj leke baithe ho, noise cancellation bhi zordaar, build quality bhi khatarnaak. Aur price bhi reasonable hai.Best in class.
",5.0 out of 5 stars,1
14,1565,Dr.Shiva yadav,"
आप लोग यह ले सकते हैं क्योंकि यह प्रोडक्ट boultaudio है और मुझको इस ये सभी good लगे


आप लोग यह ले सकते हैं क्योंकि यह प्रोडक्ट boultaudio है और मुझको इस कंपनी के 3 अलग अलग हेड फोन लिया है आप भी ले सकते हैं क्योकि ये good हैं
",5.0 out of 5 stars,1
15,1575,shivam Singh,"
things to know before purchasing..


isme jo in line control button h na , bhai ek dum bekar , kisi kaam ka nhi h , bs call utha skta h aur call kaat skta h , ek br press krke , aur sb bdhiya h , awaaj bhi mst aati h
",3.0 out of 5 stars,1
16,1584,Tinku,"
Best after warranty claim product


Jab se warranty se change krne ke bad sound sab bhut hi jada mast ho gya hai
",5.0 out of 5 stars,1
